CodCliente;DescCliente;CodPais;DDD;Fone;CodSexo;Email
1;Cliente 001;1;11;21456699;1;Cliente001@gmail.com
2;Cliente 002;1;21;44556687;2;Cliente002@gmail.com
3;Cliente 003;1;11;33221144;2;Cliente003@gmail.com
4;Cliente 004;1;33;88997765;2;Cliente004@gmail.com
5;Cliente 005;1;44;21456699;2;Cliente005@gmail.com
6;Cliente 006;1;55;44556687;1;Cliente006@gmail.com
7;Cliente 007;1;33;33221144;1;Cliente007@gmail.com
8;Cliente 008;1;66;88997765;1;Cliente008@gmail.com
9;Cliente 009;1;11;55441122;1;Cliente009@gmail.com
10;Cliente 010;2;44;66887745;1;Cliente010@gmail.com
11;Cliente 011;2;55;987445251;1;Cliente011@gmail.com
12;Cliente 012;2;11;55221123;2;Cliente012@gmail.com
13;Cliente 013;2;21;77884455;2;Cliente013@gmail.com
14;Cliente 014;2;11;863321212;2;Cliente014@gmail.com
15;Cliente 015;2;33;66332214;2;Cliente015@gmail.com
16;Cliente 016;2;44;44556655;2;Cliente016@gmail.com
17;Cliente 017;2;55;21456699;2;Cliente017@gmail.com
18;Cliente 018;2;33;44556687;2;Cliente018@gmail.com
19;Cliente 019;2;66;33221144;2;Cliente019@gmail.com
20;Cliente 020;3;11;88997765;2;Cliente020@gmail.com
21;Cliente 021;3;44;21456699;2;Cliente021@gmail.com
22;Cliente 022;3;55;44556687;1;Cliente022@gmail.com
23;Cliente 023;3;11;33221144;1;Cliente023@gmail.com
24;Cliente 024;3;21;88997765;1;Cliente024@gmail.com
25;Cliente 025;3;11;55441122;1;Cliente025@gmail.com
26;Cliente 026;4;33;66887745;1;Cliente026@gmail.com
27;Cliente 027;4;44;987445251;1;Cliente027@gmail.com
28;Cliente 028;4;55;55221123;1;Cliente028@gmail.com
29;Cliente 029;4;33;77884455;2;Cliente029@gmail.com
30;Cliente 030;5;66;863321212;2;Cliente030@gmail.com
31;Cliente 031;5;11;66332214;2;Cliente031@gmail.com
32;Cliente 032;5;44;44556655;2;Cliente032@gmail.com
33;Cliente 033;5;55;21456699;1;Cliente033@gmail.com
34;Cliente 034;5;41;44556687;1;Cliente034@gmail.com
35;Cliente 035;5;32;33221144;1;Cliente035@gmail.com
36;Cliente 036;5;66;88997765;1;Cliente036@gmail.com
37;Cliente 037;5;77;21456699;1;Cliente037@gmail.com
38;Cliente 038;5;33;44556687;1;Cliente038@gmail.com
39;Cliente 039;5;22;33221144;2;Cliente039@gmail.com
40;Cliente 040;5;11;88997765;2;Cliente040@gmail.com
41;Cliente 041;5;11;55441122;2;Cliente041@gmail.com
42;Cliente 042;5;11;66887745;2;Cliente042@gmail.com
43;Cliente 043;5;11;987445251;2;Cliente043@gmail.com
44;Cliente 044;5;33;55221123;2;Cliente044@gmail.com
45;Cliente 045;5;66;77884455;2;Cliente045@gmail.com
